Food,Serving,Calories
Black Olives,1 olive (2.7 g),2 cal
Broccoli,1 bunch (608 g),207 cal
Cabbage,1 head (908 g),227 cal
Carrot,1 carrot (61 g),25 cal
Cauliflower,1 floweret (13 g),3 cal
Cherry Tomato,1 cherry tomato (20 g),20 cal
Corn,1 cup (154 g),562 cal
Cucumber,1 cucumber (410 g),66 cal
Eggplant,1 eggplant (458 g),115 cal
Garlic,1 clove (3 g),4 cal
Gherkin,1 gherkin (65 g),9 cal
Gourd,1 gourd (771 g),108 cal
Green Beans,1 cup (110 g),34 cal
Green Olives,1 olive (2.7 g),2 cal
Green Onion,1 green onion (15 g),5 cal
Mushrooms,1 mushroom (5.4 g),1 cal
Olives,1 olive (2.7 g),2 cal
Onion,1 onion (85 g),34 cal
Peas,1 cup (98 g),79 cal
Pepper,1 pepper (75 g),20 cal
Potato,1 potato (213 g),164 cal
Pumpkin,1 pumpkin (196 g),51 cal
Spinach,1 bunch (340 g),78 cal
Sweet Potato,1 potato (130 g),112 cal
Tomato,1 tomato (111 g),20 cal
Zucchini,1 zucchini (196 g),33 cal
Apple,1 apple (182 g),95 cal
Apricot,1 apricot (35 g),17 cal
Avocado,1 avocado (200 g),320 cal
Banana,1 banana (125 g),111 cal
Blackberries,1 cup (144 g),62 cal
Blueberries,1 cup (148 g),84 cal
Cherries,1 cherry (8 g),4 cal
Clementine,1 clementine (74 g),35 cal
Fruit salad,1 cup (249 g),125 cal
Grapes,1 cup (151 g),104 cal
Kiwi,1 liwi (183 g),112 cal
Lemon,1 lemon (58 g),17 cal
Lime,1 lime (67 g),20 cal
Mango,1 mango (336 g),202 cal
Nectarine,1 nectarine (150 g),66 cal
Olives,1 olive (2.7 g),2 cal
Orange,1 orange (131 g),62 cal
Passion Fruit,1 passoin fruit (18 g),17 cal
Peach,1 peach (150 g),59 cal
Pear,1 pear (178 g),101 cal
Pineapple,1 pineapple (905 g),453 cal
Pomegranate,1 pomegranate (282 g),234 cal
Raisins,1 cup (145 g),434 cal
Rambutan,1 rambutan (9 g),7 cal
Raspberries,1 cup (123 g),64 cal
Strawberries,1 cup (152 g),49 cal
Watermelon,1 wedge (286 g),86 cal
Black Pudding,1 pudding (40 g),101 cal
Kebab,1 kebab (360 g),774 cal
Lasagne,1 serving (215 g),284 cal
Pizza,1 slice (102 g),272 cal
Potato Salad,1/3 cup (95 g),136 cal
Roast Beef,1 slice (21 g),23 cal
Spaghetti Bolognese,1 serving (283 g),374 cal
Couscous,1 cup (173 g),650 cal
Cracker,1 cracker (7 g),35 cal
Sunflower Seeds,1 cup (140 g),818 cal
Tortilla,1 tortilla (197 g),467 cal
Tortilla Chips,20 chips (32 g),160 cal
Corn Oil,1 tbsp (15 ml),120 cal
Olive Oil,1 tbsp (15 ml),120 cal
Palm Oil,1 tbsp (14 ml),123 cal
Sunflower Oil,1 tbsp (14 ml),124 cal
Broccoli Soup,1 cup (237 g),206 cal
Chicken Vegetable Soup,1 cup (248 g),77 cal
Chicken with Rice Soup,1 cup (243 g),58 cal
Cream of Broccoli Soup,1 serving (310 g),140 cal
Mushroom Soup,1 cup (244 g),85 cal
Tomato Soup,1 cup (248 g),74 cal
Vegetable Soup,1 cup (241 g),67 cal
Chocolate Ice Cream,1 scoop (72 g),156 cal
Magnum,1 magnum (86 g),258 cal
McFlurry,1 mcflurry (134 g),205 cal
Mini Milk,1 mini milk (25 g),30 cal
Strawberry Ice Cream,1 scoop (72 g),170 cal
Vanilla Ice Cream,1 scoop (72 g),145 cal
Penne,2 oz. (56 g),197 cal
Spaghetti,2 oz. (56 g),207 cal
Spinach Tortellini,1 cup (102 g),320 cal
Spirelli,2 oz. (56 g),206 cal
Tagliatelle,2 oz. (56 g),207 cal
Tortellini,1 cup (113 g),329 cal
Vermicelli,2 oz. (56 g),206 cal
Beef Pizza,1 slice (235 g),714 cal
Cheese Pizza,1 slice (63 g),168 cal
